hour,avg_traffic_load
0,53.18600682593857
1,52.57210776545166
2,52.66614420062696
3,53.02265372168285
4,54.43464566929134
5,55.438687392055265
6,51.88455538221529
7,177.38071895424838
8,170.34967320261438
9,172.56521739130434
10,176.92307692307693
11,63.13481481481482
12,62.31340872374798
13,64.3103448275862
14,65.52553542009885
15,65.74317817014446
16,64.07458143074581
17,168.25785123966944
18,171.49302325581397
19,172.0777202072539
20,174.45788667687594
21,52.60769230769231
22,52.988941548183256
23,55.45812807881774
